utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-08-05T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-08-05T01:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,1,1,0
2024-08-05T02:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-08-05T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,2,2,0
2024-08-05T03:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,7,5,28
2024-08-05T03:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,2,1,5
2024-08-05T03:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,8,5,143
2024-08-05T03:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,9,7,21
2024-08-05T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,5,4,12
2024-08-05T03:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,3,2,26
2024-08-05T04:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,4,6,6
2024-08-05T04:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,5,7,14
2024-08-05T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,13,8,165
2024-08-05T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,12,9,169
2024-08-05T04:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,3,3,12
2024-08-05T04:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,17,14,94
2024-08-05T04:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,11,11,16
2024-08-05T04:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,10,10,33
2024-08-05T04:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,5,4,15
2024-08-05T04:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,1
2024-08-05T04:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,2,2,13
2024-08-05T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,4,3,11
2024-08-05T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,18,13,186
2024-08-05T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,15,14,180
2024-08-05T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,23,21,63
2024-08-05T04:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,6,6,22
2024-08-05T04:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,13,11,167
2024-08-05T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,22,19,128
2024-08-05T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,9,6,35
2024-08-05T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,6,7,11
2024-08-05T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,12,7,112
2024-08-05T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,8,8,100
2024-08-05T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,11,10,25
2024-08-05T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,28,24,210
2024-08-05T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,7,6,16
2024-08-05T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,8,9,13
2024-08-05T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,6,5,34
2024-08-05T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,3
2024-08-05T05:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,6,4,35
2024-08-05T05:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,1,1,0
2024-08-05T05:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,3,3,68
2024-08-05T05:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,2,1,31
2024-08-05T05:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,6,7,118
2024-08-05T05:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,4,3,7
2024-08-05T05:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,5,3,52
2024-08-05T05:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,13,10,98
2024-08-05T06:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,38,35,191
2024-08-05T06:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,10,9,60
2024-08-05T06:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,21,15,216
2024-08-05T06:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,24,19,378
2024-08-05T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,28,31,96
2024-08-05T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,24,16,152
2024-08-05T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,19,18,83
2024-08-05T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,15,13,77
2024-08-05T06:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,16,16,103
2024-08-05T06:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,21,18,130
2024-08-05T06:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,32,36,125
