snow_depth_cm,precipitation_mm,temperature_c,localtime,area,total_minutes,total_sets,total_reps,week_of_year,month,day_of_week,hour
0.0,0.0,9.1,2021-10-01 00:00:00,Hietaniemi,0,0,0,39,10,4,0
0.0,0.0,9.1,2021-10-01 00:00:00,Paloheinä,1,1,0,39,10,4,0
0.0,0.0,9.1,2021-10-01 00:00:00,Pirkkola,0,0,0,39,10,4,0
0.0,0.0,9.4,2021-10-01 01:00:00,Hietaniemi,0,0,0,39,10,4,1
0.0,0.0,9.4,2021-10-01 01:00:00,Paloheinä,1,1,0,39,10,4,1
0.0,0.0,9.4,2021-10-01 01:00:00,Pirkkola,1,1,0,39,10,4,1
0.0,0.0,9.5,2021-10-01 02:00:00,Hietaniemi,0,0,0,39,10,4,2
0.0,0.0,9.5,2021-10-01 02:00:00,Paloheinä,0,0,0,39,10,4,2
0.0,0.0,9.5,2021-10-01 02:00:00,Pirkkola,0,0,0,39,10,4,2
0.0,0.0,9.3,2021-10-01 03:00:00,Hietaniemi,0,0,0,39,10,4,3
0.0,0.0,9.3,2021-10-01 03:00:00,Paloheinä,0,0,0,39,10,4,3
0.0,0.0,9.3,2021-10-01 03:00:00,Pirkkola,0,0,0,39,10,4,3
0.0,0.0,9.3,2021-10-01 04:00:00,Hietaniemi,0,0,0,39,10,4,4
0.0,0.0,9.3,2021-10-01 04:00:00,Paloheinä,0,0,0,39,10,4,4
0.0,0.0,9.3,2021-10-01 04:00:00,Pirkkola,0,0,0,39,10,4,4
0.0,0.0,9.3,2021-10-01 05:00:00,Hietaniemi,1,1,0,39,10,4,5
0.0,0.0,9.3,2021-10-01 05:00:00,Paloheinä,0,0,0,39,10,4,5
0.0,0.0,9.3,2021-10-01 05:00:00,Pirkkola,0,0,0,39,10,4,5
0.0,0.0,9.2,2021-10-01 06:00:00,Hietaniemi,37,30,368,39,10,4,6
0.0,0.0,9.2,2021-10-01 06:00:00,Paloheinä,2,2,8,39,10,4,6
0.0,0.0,9.2,2021-10-01 06:00:00,Pirkkola,15,14,93,39,10,4,6
0.0,0.07,8.9,2021-10-01 07:00:00,Hietaniemi,60,48,402,39,10,4,7
0.0,0.07,8.9,2021-10-01 07:00:00,Paloheinä,12,10,28,39,10,4,7
0.0,0.07,8.9,2021-10-01 07:00:00,Pirkkola,33,35,146,39,10,4,7
0.0,0.15,8.5,2021-10-01 08:00:00,Hietaniemi,24,17,262,39,10,4,8
0.0,0.15,8.5,2021-10-01 08:00:00,Paloheinä,25,17,177,39,10,4,8
0.0,0.15,8.5,2021-10-01 08:00:00,Pirkkola,57,60,339,39,10,4,8
0.0,0.07,8.5,2021-10-01 09:00:00,Hietaniemi,27,22,189,39,10,4,9
0.0,0.07,8.5,2021-10-01 09:00:00,Paloheinä,18,14,88,39,10,4,9
0.0,0.07,8.5,2021-10-01 09:00:00,Pirkkola,39,32,336,39,10,4,9
0.0,0.08,8.7,2021-10-01 10:00:00,Hietaniemi,67,42,519,39,10,4,10
0.0,0.08,8.7,2021-10-01 10:00:00,Paloheinä,36,31,271,39,10,4,10
0.0,0.08,8.7,2021-10-01 10:00:00,Pirkkola,67,79,252,39,10,4,10
0.0,0.0,9.2,2021-10-01 11:00:00,Hietaniemi,118,114,968,39,10,4,11
0.0,0.0,9.2,2021-10-01 11:00:00,Paloheinä,57,44,493,39,10,4,11
0.0,0.0,9.2,2021-10-01 11:00:00,Pirkkola,31,30,172,39,10,4,11
0.0,0.0,9.6,2021-10-01 12:00:00,Hietaniemi,66,61,412,39,10,4,12
0.0,0.0,9.6,2021-10-01 12:00:00,Paloheinä,78,65,489,39,10,4,12
0.0,0.0,9.6,2021-10-01 12:00:00,Pirkkola,23,22,114,39,10,4,12
0.0,0.0,10.1,2021-10-01 13:00:00,Hietaniemi,105,74,1000,39,10,4,13
0.0,0.0,10.1,2021-10-01 13:00:00,Paloheinä,50,44,391,39,10,4,13
0.0,0.0,10.1,2021-10-01 13:00:00,Pirkkola,33,37,262,39,10,4,13
0.0,0.0,10.7,2021-10-01 14:00:00,Hietaniemi,40,36,468,39,10,4,14
0.0,0.0,10.7,2021-10-01 14:00:00,Paloheinä,37,37,144,39,10,4,14
0.0,0.0,10.7,2021-10-01 14:00:00,Pirkkola,79,83,390,39,10,4,14
0.0,0.0,11.0,2021-10-01 15:00:00,Hietaniemi,40,40,402,39,10,4,15
0.0,0.0,11.0,2021-10-01 15:00:00,Paloheinä,42,38,223,39,10,4,15
0.0,0.0,11.0,2021-10-01 15:00:00,Pirkkola,24,22,151,39,10,4,15
0.0,0.0,11.2,2021-10-01 16:00:00,Hietaniemi,75,80,510,39,10,4,16
0.0,0.0,11.2,2021-10-01 16:00:00,Paloheinä,71,53,369,39,10,4,16
0.0,0.0,11.2,2021-10-01 16:00:00,Pirkkola,29,24,249,39,10,4,16
0.0,0.0,10.8,2021-10-01 17:00:00,Hietaniemi,145,124,1349,39,10,4,17
0.0,0.0,10.8,2021-10-01 17:00:00,Paloheinä,169,147,991,39,10,4,17
0.0,0.0,10.8,2021-10-01 17:00:00,Pirkkola,13,8,104,39,10,4,17
0.0,0.0,10.6,2021-10-01 18:00:00,Hietaniemi,165,123,1513,39,10,4,18
0.0,0.0,10.6,2021-10-01 18:00:00,Paloheinä,104,77,681,39,10,4,18
0.0,0.0,10.6,2021-10-01 18:00:00,Pirkkola,11,7,99,39,10,4,18
0.0,0.0,10.6,2021-10-01 19:00:00,Hietaniemi,125,96,1914,39,10,4,19
0.0,0.0,10.6,2021-10-01 19:00:00,Paloheinä,103,99,700,39,10,4,19
0.0,0.0,10.6,2021-10-01 19:00:00,Pirkkola,93,85,749,39,10,4,19
0.0,0.0,10.5,2021-10-01 20:00:00,Hietaniemi,67,61,489,39,10,4,20
0.0,0.0,10.5,2021-10-01 20:00:00,Paloheinä,42,38,183,39,10,4,20
0.0,0.0,10.5,2021-10-01 20:00:00,Pirkkola,50,40,301,39,10,4,20
0.0,0.0,10.6,2021-10-01 21:00:00,Hietaniemi,87,71,545,39,10,4,21
0.0,0.0,10.6,2021-10-01 21:00:00,Paloheinä,5,4,34,39,10,4,21
0.0,0.0,10.6,2021-10-01 21:00:00,Pirkkola,12,11,112,39,10,4,21
0.0,0.0,10.3,2021-10-01 22:00:00,Hietaniemi,1,1,0,39,10,4,22
0.0,0.0,10.3,2021-10-01 22:00:00,Paloheinä,55,55,357,39,10,4,22
0.0,0.0,10.3,2021-10-01 22:00:00,Pirkkola,9,7,53,39,10,4,22
0.0,0.0,10.1,2021-10-01 23:00:00,Hietaniemi,17,12,82,39,10,4,23
0.0,0.0,10.1,2021-10-01 23:00:00,Paloheinä,20,23,38,39,10,4,23
0.0,0.0,10.1,2021-10-01 23:00:00,Pirkkola,16,12,104,39,10,4,23
0.0,0.0,10.1,2021-10-02 00:00:00,Hietaniemi,0,0,0,39,10,5,0
0.0,0.0,10.1,2021-10-02 00:00:00,Paloheinä,2,2,0,39,10,5,0
0.0,0.0,10.1,2021-10-02 00:00:00,Pirkkola,8,5,46,39,10,5,0
0.0,0.0,10.0,2021-10-02 01:00:00,Hietaniemi,0,0,0,39,10,5,1
0.0,0.0,10.0,2021-10-02 02:00:00,Hietaniemi,0,0,0,39,10,5,2
0.0,0.0,10.0,2021-10-02 02:00:00,Paloheinä,0,0,0,39,10,5,2
0.0,0.0,10.0,2021-10-02 02:00:00,Pirkkola,0,0,0,39,10,5,2
