"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lumensyvyys maksimi [cm]","Sademäärä maksimi [mm]","Ilman lämpötila maksimi [°C]"
"Espoo Tapiola","2021","10","1","00:00","-1","0","9.1"
"Espoo Tapiola","2021","10","1","01:00","-1","0","9.4"
"Espoo Tapiola","2021","10","1","02:00","-1","0","9.5"
"Espoo Tapiola","2021","10","1","03:00","-1","0","9.3"
"Espoo Tapiola","2021","10","1","04:00","-1","0","9.3"
"Espoo Tapiola","2021","10","1","05:00","-1","0","9.3"
"Espoo Tapiola","2021","10","1","06:00","-1","0","9.2"
"Espoo Tapiola","2021","10","1","07:00","-1","0.07","8.9"
"Espoo Tapiola","2021","10","1","08:00","-1","0.15","8.5"
"Espoo Tapiola","2021","10","1","09:00","-1","0.07","8.5"
"Espoo Tapiola","2021","10","1","10:00","-1","0.08","8.7"
"Espoo Tapiola","2021","10","1","11:00","-1","0","9.2"
"Espoo Tapiola","2021","10","1","12:00","-1","0","9.6"
"Espoo Tapiola","2021","10","1","13:00","-1","0","10.1"
"Espoo Tapiola","2021","10","1","14:00","-1","0","10.7"
"Espoo Tapiola","2021","10","1","15:00","-1","0","11"
"Espoo Tapiola","2021","10","1","16:00","-1","0","11.2"
"Espoo Tapiola","2021","10","1","17:00","-1","0","10.8"
"Espoo Tapiola","2021","10","1","18:00","-1","0","10.6"
"Espoo Tapiola","2021","10","1","19:00","-1","0","10.6"
"Espoo Tapiola","2021","10","1","20:00","-1","0","10.5"
"Espoo Tapiola","2021","10","1","21:00","-1","0","10.6"
"Espoo Tapiola","2021","10","1","22:00","-1","0","10.3"
"Espoo Tapiola","2021","10","1","23:00","-1","0","10.1"
"Espoo Tapiola","2021","10","2","00:00","-1","0","10.1"
"Espoo Tapiola","2021","10","2","01:00","-1","0","10"
"Espoo Tapiola","2021","10","2","02:00","-1","0","10"
"Espoo Tapiola","2021","10","2","03:00","-1","0","10"
"Espoo Tapiola","2021","10","2","04:00","-1","0","10.1"
"Espoo Tapiola","2021","10","2","05:00","-1","0","10.1"
"Espoo Tapiola","2021","10","2","06:00","-1","0","10"
"Espoo Tapiola","2021","10","2","07:00","-1","0","10"
"Espoo Tapiola","2021","10","2","08:00","-1","0","9.8"
"Espoo Tapiola","2021","10","2","09:00","-1","0","9.6"
"Espoo Tapiola","2021","10","2","10:00","-1","0","10.5"
"Espoo Tapiola","2021","10","2","11:00","-1","0","10.7"
"Espoo Tapiola","2021","10","2","12:00","-1","0","11.1"
"Espoo Tapiola","2021","10","2","13:00","-1","0","11.3"
"Espoo Tapiola","2021","10","2","14:00","-1","0","11.5"
"Espoo Tapiola","2021","10","2","15:00","-1","0","12"
"Espoo Tapiola","2021","10","2","16:00","-1","0","12"
"Espoo Tapiola","2021","10","2","17:00","-1","0","12.2"
"Espoo Tapiola","2021","10","2","18:00","-1","0","11.8"
"Espoo Tapiola","2021","10","2","19:00","-1","0","11.1"
"Espoo Tapiola","2021","10","2","20:00","-1","0","9.8"
"Espoo Tapiola","2021","10","2","21:00","-1","0","11.3"
